time_ns,device,sensor,x,y,z,extra
1774665763092520000,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7976433638510612, ""qx"": -0.3011389991892937, ""qz"": 0.4042010819628796, ""roll"": -0.2785770743863276, ""qw"": -0.8217000598579662, ""qy"": 0.26598081799870826, ""pitch"": 0.7893723104387449}"
1774665763102503000,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7966110930776028, ""qx"": -0.30151859988880053, ""qz"": 0.4037285742246058, ""roll"": -0.27829854223944955, ""qw"": -0.8218591027706859, ""qy"": 0.26577676120893784, ""pitch"": 0.7898035065009903}"
1774665763112486000,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7954970882389539, ""qx"": -0.3018897346253432, ""qz"": 0.4032306331880841, ""roll"": -0.2780731773253653, ""qw"": -0.8220312513240453, ""qy"": 0.2655788966854756, ""pitch"": 0.7902151467038422}"
1774665763122468900,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7942920655558415, ""qx"": -0.30226970069173914, ""qz"": 0.4026924438717489, ""roll"": -0.2778283620915258, ""qw"": -0.822227246017069, ""qy"": 0.2653564763413052, ""pitch"": 0.7906105361670862}"
1774665763132452000,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7929241673021488, ""qx"": -0.3026823708395337, ""qz"": 0.4020866936122181, ""roll"": -0.2775833530544196, ""qw"": -0.8224504555031705, ""qy"": 0.26511291099074796, ""pitch"": 0.7910319897385446}"
1774665763142434800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7914433633864468, ""qx"": -0.30314305730730884, ""qz"": 0.40142765020984533, ""roll"": -0.27730044722012254, ""qw"": -0.8226890818959943, ""qy"": 0.2648451654813675, ""pitch"": 0.7915129074819807}"
1774665763152417800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7899186874017267, ""qx"": -0.30362241777972393, ""qz"": 0.4007357172346788, ""roll"": -0.2769193086663281, ""qw"": -0.8229517370698856, ""qy"": 0.2645276017092588, ""pitch"": 0.7919785989524356}"
1774665763162401800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7883474084675527, ""qx"": -0.3040887410839562, ""qz"": 0.40001720529406015, ""roll"": -0.27648485543209617, ""qw"": -0.8232439032426514, ""qy"": 0.2641701137730337, ""pitch"": 0.792375976276221}"
1774665763172385000,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7867599170196218, ""qx"": -0.3045143358083956, ""qz"": 0.3992857491666878, ""roll"": -0.2759996897017999, ""qw"": -0.8235698165028432, ""qy"": 0.26377037740894144, ""pitch"": 0.792651667812363}"
1774665763182368000,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7851261837301131, ""qx"": -0.3048878389333402, ""qz"": 0.3985316254336826, ""roll"": -0.27547818861527623, ""qw"": -0.8239389955495509, ""qy"": 0.2633256246266157, ""pitch"": 0.7927770407637003}"
